Feature,Corr_Score,Abs_Correlation,RF_Score,Importance,MI_Score_Norm,MI_Score,Composite_Score
Option_ICTQ,0.18230568278906953,0.07985619557939118,6.19105166164523e-05,1.3030914579823376e-05,0.09399373360373016,0.07177533730654417,0.0921204423031387
ST008.1,0.11323006317708872,0.04959868464988165,0.0004967082290593703,0.00010454706013950396,0.1609880349188318,0.12293341338404185,0.09157160210832664
science_q5_total_timing,0.10078769799585517,0.04414849828058232,0.0008761693085424531,0.00018441596098788733,0.17272393588045368,0.13189516240518273,0.09146260106161709
CNTSTUID,0.05327341832363963,0.023335600118167887,0.0004550294827991764,9.577452500342352e-05,0.22029909026435862,0.16822442205255328,0.09134251269026582
OCOD3,0.05014033133174865,0.021963199632544114,0.000632134647196839,0.00013305158865981406,0.221017734970088,0.16877319231818344,0.09059673364967784
CNTSCHID,0.05318747777759,0.023297955186048686,0.00047643916843077144,0.00010028083184583884,0.21802899021043531,0.1664909320544128,0.09056430238548537
science_q6_total_timing,0.09106848801240743,0.039891148090279265,0.0013926466169429633,0.00029312401344816426,0.17884102487429057,0.13656628364947565,0.09043405316788032
reading_q8_average_score,0.19160294157565838,0.08392871654887225,0.0003153490076812789,6.637460332280277e-05,0.07729085960533424,0.059020716660471706,0.08973638339622464
SUBNATIO,0.050906525211026336,0.02229881905668529,0.00039614867074562807,8.338130210376957e-05,0.20644046770454874,0.15764172392261155,0.08591438052877358
science_q4_total_timing,0.08339029141054102,0.03652783236607836,0.0010545019743160953,0.0002219513889166373,0.17255790701576781,0.1317683797218212,0.08566756680020832
CNTRYID,0.05318564562631151,0.023297152640408925,0.0002011424033821963,4.2336417463478976e-05,0.20360599407818972,0.1554772679230645,0.08566426070262782
IC174,0.14651287914269243,0.06417770939842607,0.0001388503174635056,2.9225190244454815e-05,0.10304136131265056,0.07868427161241609,0.08323103025760216
PA195,0.2067955073671811,0.09058358592342884,1.5998998952269196e-05,3.3674664677939553e-06,0.04043545830133243,0.03087725689202392,0.08241565488915527
science_q8_total_timing,0.09613621184476759,0.042110986437104286,0.0012350591021564122,0.0002599550212274711,0.1492490409251793,0.11396930246696613,0.08220677062403443
WB160,0.18418633383881897,0.0806799857967216,5.3792736231147705e-06,1.132228560109896e-06,0.060251118380147115,0.046008858027318134,0.08148094383086307
MATHEASE,0.2102172001116606,0.09208240571245256,6.449894965410826e-06,1.3575727507459715e-06,0.03234584925613533,0.02469988319235794,0.08085649975425378
reading_q3_total_timing,0.07321679149851645,0.032071487471764054,0.0005433250705840312,0.00011435896469285074,0.16622211568522452,0.12693025336575126,0.07999407741810834
ADMINMODE,0.15824428377443958,0.06931647045272461,0.00014429546190496308,3.0371283282750936e-05,0.07548150116802617,0.05763905740333719,0.07795669346812358
science_q7_total_timing,0.0482739068561115,0.0211456411468161,0.00101445256627907,0.0002135217966013911,0.18420327061874253,0.14066099275690647,0.07783054334704437
ST127,0.19229129304372655,0.08423023830409375,2.1205804566477224e-05,4.4633939919144545e-06,0.0373962305695252,0.028556446905673827,0.07656957647260608
reading_q1_total_timing,0.06554158689467687,0.028709482346201368,0.0004916309897206505,0.00010347840370211616,0.15279002572345987,0.11667326334339467,0.07294108120261912
ST038,0.11512385175781285,0.05042822956024684,0.00024933249511475253,5.2479459442132346e-05,0.09685262237406433,0.07395843715741002,0.07074193554233064
science_q1_total_timing,0.030330117453563187,0.013285640657290942,0.001084833645313829,0.0002283355936598059,0.17931085971376332,0.13692505814207845,0.07024193693754678
FL167,0.14083236915544753,0.06168944951759194,1.845894125140479e-05,3.8852346875282375e-06,0.0689924352028407,0.05268388772767363,0.06994775443317987
ST353,0.007925260226014518,0.0034715381382731682,0.00010487939411884716,2.2074996311420588e-05,0.2012785394333965,0.153699980908379,0.06976955968450994
